Country;Longitude;Latitude
Germany;10.45153;51.16569
Italy;12.56738;41.87194
Sweden;18.6435;60.12816
France;2.213749;46.22764
Hungary;19.5033;47.1625
Austria;14.5501;47.5162
Greece;21.8243;39.0742
Netherlands;5.2913;52.1326
Switzerland;8.2275;46.8182
United Kingdom;-3.435973;55.37805
Belgium;4.4699;50.5039
Syria;38.9968;34.8021
Iraq;43.6793;33.2232
Eritrea;39.7823;15.1794
Nigeria;8.6753;9.082
Somalia;46.1996;5.1521
Gambia, The;-15.3101;13.4432
Guinea;-9.6966;9.9456
Mali;-3.9962;17.5707
Sudan;30.2176;12.8628
Algeria;1.6596;28.0339
Senegal;-14.4524;14.4974
Cote d'Ivoire;-5.5471;7.54
West Med s;1.453982;36.790658
West Med m;-6.48955;36.097005
West Med l;-3.144905;35.991366
Mid Med s;17.001355;32.52715
Mid Med m;17.288786;35.5665
Mid Med l;13.944141;33.849081
Mid Med xl;11.801478;37.478086
East Med s;24.788533;39.757845
East Med xl;24.945313;39.637214
